제목,내용
"안규백 ""GOP 병력 75% 축소 … AI 활용해 경계병력 최소화""",내용 저장 실패
"정읍시, 농축산용 미생물 공유 인프라 개소…AI서버 구축","[정읍=뉴시스] 지난 8일 정읍 신정동 연구개발특구 내 농축산용미생물산업육성지원센터에서 열린 '농축산용 미생물산업 공유 인프라' 개소식, 이학수 정읍시장(왼쪽 여섯번째)과 양오봉 전북대총장(왼쪽 일곱번째) 등 관계자들이 기념사진을 찍고 있다. (사진=정읍시 제공) 2026.04.09. [email protected] *재판매 및 DB 금지 [정읍=뉴시스] 김종효 기자 = 전북 정읍시가 미생물 연구개발 역량을 산업으로 확장하고 있다. 9일 시에 따르면 지난 8일 정읍 신정동 연구개발특구 내 농축산용미생물산업육성지원센터에서 '농축산용 미생물산업 공유 인프라'에 대한 개소식이 열렸다. 이 시설은 총 200억원의 사업비가 투입돼 연면적 6347㎡, 지상 3층 규모로 조성됐다. 총 40실 규모의 공장형 입주 공간이 마련됐다. 기업들이 시제품 제작과 시험 생산, 연구개발을 한 공간에서 동시에 수행할 수 있도록 설계됐다. 액상·고체 발효 설비, 대용량 혼합기, 포장 라인 등 미생물 제품의 대량 생산과 사업화를 돕는 공동 활용 생산 장비와 품질 분석 장비가 구축됐고 생산된 미생물 제품의 보관과 유통을 지원하는 냉장·실온 물류 창고도 갖췄다. 99억원이 투입된 '그린바이오소재 첨단분석시스템'과 연계돼 큰 시너지가 기대되는 시설로 '엔비디아 H100 GPU' 4장이 탑재된 인공지능(AI) 서버까지 구축됐다. 이를 통해 미생물 소재 탐색부터 기능 분석, 제품 개발에 이르는 전 과정을 자동화·고속화·표준화할 수 있고 앞서 한달 이상 걸리던 분석 기간을 단 3일 수준으로 단축할 수 있게 됐다. 시는 첨단분석시스템 구축 당시 다수 기업과 입주 협약이 성사된 만큼 향후 대규모 미생물산업 집적 단지(클러스터) 형성을 가속할 계획이다. 시 관계자는 ""이번 공유 기반 시설은 지난 20여 년간 쌓아온 연구 개발의 시간들이 마침내 산업으로 이어지는 의미 있는 출발점""이라며 ""기업과 연구 기관, 행정이 원팀으로 호흡하며 정읍만의 바이오산업 생태계를 만들고 현장에서 직접 체감할 수 있는 산업 성과를 지속해서 창출해 나가겠다""고 말했다. ◎공감언론 뉴시스 [email protected]"
"'AI·모바일 기반'…서울성모, 돌보는 '스마트 간호'로 전환","간호 분야 디지털 전환 가속…'스마트 AI 간호 혁신 원년' 선포 의료진과 환자 모두 만족하는 '미래형 ‘K-헬스케어' 모델 제시 [서울=뉴시스] 가톨릭대학교 서울성모병원은 올해를 'AI가 이끄는 간호 혁신의 원년'으로 선언하고, 다양한 방식을 통해 스마트 간호 서비스를 현장에 적용하는 한 해가 될 것이라고 8일 밝혔다. (사진=서울성모병원 제공) 2026.04.08. [email protected] *재판매 및 DB 금지 [서울=뉴시스]송종호 기자 = 가톨릭대학교 서울성모병원이 간호 현장의 다양한 분야에서 디지털 전환을 더욱 가속화한다. 이를 통해 업무 효율성과 기록 정확성은 물론, 환자 경험까지 개선한다는 취지다. 가톨릭대학교 서울성모병원은 올해를 'AI가 이끄는 간호 혁신의 원년'으로 선언하고, 다양한 방식을 통해 스마트 간호 서비스를 현장에 적용할 것이라고 8일 밝혔다. 그 일환으로 간호부는 올해 2월부터 인공지능(AI) 기반의 음성 전자간호기록(Voice ENR·Voice Electronic Nursing Record) 시스템을 전 병동에 확산·운영하고 있다. 지난해 3월 스마트 간호체계 개발사업에 착수한 이래, 간호부는 약 11개월에 걸쳐 단계적으로 인프라를 구축하고 현장 테스트를 병행해 왔다. 테스트가 종료된 올해 본격적인 현장 적용을 위해 Voice ENR 시스템이 탑재된 전용 단말기와 함께 주변 소음을 차단하는 음성인식 전용 핀마이크를 보급하며 하드웨어와 소프트웨어를 아우르는 시스템 패키지를 완비했다. 해당 기기는 병동에서 근무하는 간호사 1인당 1대 배포돼 현장 기록과 확인이 가능한 환경을 조성하고 있다. 또한 현장 업무별 성격에 따라 단말기와 태블릿 PC를 유연하게 활용하는 상황별 운영 체계도 갖췄다. 이동이 잦은 투약·수혈·검사 업무에는 휴대성이 높은 Voice ENR 전용 단말기를, 입원 시 상담이나 라운딩처럼 시각적 확인과 상세 입력이 필요한 업무에는 태블릿 PC를 각각 활용하는 방식이다. 현재까지는 Voice ENR이 간호 기록을 중심으로 이뤄지고 있지만, 서울성모병원은 단순히 기록 업무 경감에 그치지 않고 있다. 현장 간호업무의 중심으로 활용될 수 있도록 지속적으로 다양한 시스템을 이식하고 연계해 나간다는 방침이다. 이런 철학에 근거해 이제까지 개인휴대통신단말기(PDA) 기반으로 운영돼 왔던 현장 투약 기록 역시 Voice ENR 플랫폼으로 이식됐다. 그 과정에서 기존 기능의 동일한 구현을 넘어 새로운 장점과 특성을 살리는 데 주력했다. 투약 오류 예방이라는 환자 안전 목표 달성을 위해, 실시간 음성 인식 연동으로 투약 준비-시행-기록에 이르는 전 과정에 대한 3중 검증 체계를 구현했다고 병원 측은 설명했다. 원내 투약의 확인 강화는 곧 환자 안전으로 이어질 것으로 병원은 기대하고 있다. [서울=뉴시스] 가가톨릭대학교 서울성모병원은 올해를 'AI가 이끄는 간호 혁신의 원년'으로 선언하고, 다양한 방식을 통해 스마트 간호 서비스를 현장에 적용하는 한 해가 될 것이라고 8일 밝혔다. (사진=서울성모병원 제공) 2025.03.28. [email protected] *재판매 및 DB 금지 환자 경험 개선을 위한 디지털 전환도 눈에 띄는 성과를 내고 있다. 병원은 지난해 12월 29일부터 입원 환자를 대상으로 '모바일 간호 정보 조사지' 시스템을 운영 중이다. 환자가 입원 전 자택에서 본인의 휴대폰으로 발송된 링크를 통해 건강 정보를 직접 입력하는 방식으로, 입력된 정보는 간호사의 최종 확인을 거쳐 공식 의무기록으로 확정된다. 입원 전 충분한 시간을 두고 진행하는 자기기입식 조사는 정보 전달의 왜곡과 누락을 줄이고, 민감한 건강 정보에 대한 응답률을 높이는 데 기여할 것으로 기대된다. 실제로 도입 직후인 올해 1월 한 달간 입원 환자의 72.7%가 해당 시스템에 참여했다. 병원 도착 후 반복되던 문진 절차가 간소화되면서 대기시간 단축과 환자 만족도 향상으로 이어지고 있다는 게 병원 측 설명이다. 이 같은 스마트 간호 시스템의 전면 도입은 이지열 병원장의 행보와도 맞닿아 있다. 초대 스마트병원장으로 활동한 그는 2018년 국책사업 ‘닥터앤서 1.0’ 연구자로 참여해 의료 AI의 현장 적용에 힘써왔다. 이 병원장은 취임사에서 “AI와 정밀의료 등 첨단 기술 도입을 통해 K-헬스케어를 대표하는 세계 일류 병원으로 도약하겠다”고 밝히며, 병원 내 디지털 전환과 생태계 조성을 가속화하겠다는 의지를 드러냈다. 김혜경 간호부원장은 “Voice ENR과 AI·모바일 기술의 융합은 단순한 기술 도입을 넘어, 간호사의 행정 부담을 줄이고 환자 돌봄에 집중할 수 있는 환경을 만들기 위한 것”이라고 말했다. 이어 “앞으로도 현장의 목소리를 반영해 업무 효율을 높이고, 환자 안전을 최우선으로 하는 ‘스마트 간호’ 모델을 지속적으로 선도해 나가겠다”고 밝혔다. 서울성모병원은 이번 시스템 도입을 발판 삼아 환자 안전 강화, 간호의 질 향상, 업무 효율성 증대를 동시에 달성하고, 디지털 기반의 미래형 간호 모델을 지속적으로 이끌어 나간다는 계획이다. ◎공감언론 뉴시스 [email protected]"
"오픈AI, 엔터프라이즈 매출 비중 40% 돌파…리테일과 유사 전망","챗GPT를 운영하는 오픈AI가 엔터프라이즈 부문에서도 매출 성장세를 보이고 있다. 이에 오픈AI는 기업 전반에 걸친 에이전트 도입을 중심으로 기업용 AI 전략 고도화에 나서고 있다. 오픈AI는 엑센추어, 맥캔지앤드컴퍼니, 보스턴컨설팅그룹 등과 협력해 기업이 기존 인프라 위에서 AI를 쉽게 도입할 수 있도록 지원하고 있다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다. 전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
"KAIST-한전KDN, AI 기반 캠퍼스 에너지 플랫폼 구축","캠퍼스 탄소 저감 실증 추진…글로벌 비즈니스 모델 개발 [대전=뉴시스] 조명휘 기자 = 이광형(왼쪽) KAIST 총장과 박상형 한전KDN 대표이사가 8일 인공지능(AI)과 에너지 분야를 융합한 ‘AI+X’ 전략 기반 캠퍼스 마이크로그리드(Micro Grid, 소규모 독립형 전력망) 구축을 위한 업무협약을 체결하고 있다. (사진= KAIST 제공) 2026.04.08. [email protected] *재판매 및 DB 금지 [대전=뉴시스] 조명휘 기자 = KAIST는 한전KDN과 인공지능(AI)과 에너지 분야를 융합한 'AI+X'전략 기반 캠퍼스 소규모 독립형 전력망(Micro Grid) 구축에 나선다고 8일 밝혔다. AI 기반 전력 운영 기술을 활용해 캠퍼스 단위의 탄소중립(Net-Zero) 플랫폼을 구축하고, 이를 실증하기 위한 에너지 테스트베드를 만드는 협약이다. 양 측은 이를 통해 차세대 에너지 기술 고도화와 글로벌 비즈니스 모델도 개발할 계획이다. 구체적으로 KAIST 캠퍼스를 중심으로 실제 전력 생산·소비 데이터를 활용한 AI 기반 에너지 관리 시스템을 개발하고, 이를 검증하는 실증 환경을 단계적으로 구축하게 된다. 특히 에너지 효율 향상과 안정적인 전력 운영을 동시에 달성할 수 있는 분산형 전원과 에너지 저장장치(ESS)를 연계한 마이크로그리드 운영 기술 개발에 나서게 된다. KAIST는 글로벌 적용을 위한 차세대 인공지능 모델 개발과 해외 캠퍼스 협력 모델(KAIST 뉴욕 모델) 고도화, 캠퍼스 에너지 실증을 위한 AI 거버넌스 체계 구축을 맡게 된다. 한전KDN은 캠퍼스 전력 설비·장치 분석 기반 지능형 에너지 효율화 시스템 구축과 기술 고도화 및 글로벌 사업 모델 개발 지원 등을 수행한다. 특히 KAIST 캠퍼스에서 탄소를 줄이는 기술을 직접 적용하고 검증하는 실험 환경인 '탈탄소 리빙랩(Living Lab)'으로 활용해 재생에너지 수용성 확대, 전력 수요·공급 최적화, 계통 안정성 확보 등 AI 기반 에너지 운영 기술을 종합적으로 검증할 계획이다. 박상형 한전KDN 대표이사는 ""AI 기반 마이크로그리드 실증을 통해 에너지 운영 기술을 고도화하고, 이를 바탕으로 글로벌 시장에서 경쟁력 있는 에너지 ICT 모델을 확보해 나가겠다""고 밝혔다. 이광형 KAIST 총장은 ""AI 강국이 되려면 전력·에너지 문제가 반드시 해결돼야 한다”며 ""AI와 전력·에너지 기술의 융합과 캠퍼스 실증을 통해 AI 시대 글로벌 에너지 기술 혁신을 선도하고, 세계 3대 AI 강국으로 도약하는 데 기여할 것""이라고 했다. ◎공감언론 뉴시스 [email protected]"
"SKT, AI·6G 시대에 되돌아보는 CDMA 30주년","CDMA 상용화 한국의 통신 산업 기틀 마련 SKT AI·6G 시대를 위한 준비 진행 중 SK텔레콤은 지난 8일 CDMA 30주년을 기념해 미디어를 대상으로 통신 업계를 되돌아 보는 시간을 가졌다. 사진=데일리한국 [데일리한국 장정우 기자] SK텔레콤의 전신인 한국이동통신이 1996년 4월12일 세계 최초로 서울과 수도권에 CDMA(코드분할 다중접속) 상용 서비스를 시작한 지 30년의 시간이 흘렀다. 이 기술은 하나의 주파수 대역을 고유 코드로 분리해 여러 고객이 동시에 사용하면서도 서로의 간섭 없이 통화할 수 있는 2세대 이동통신의 기술이다. 글로벌 시장의 표준이었던 TDMA(시분할 다중접속)의 길을 따르지 않고 한국은 더 많은 수용 용량과 기술 자립성을 가진 CDMA를 선택하면서 IT 강국으로의 발판을 마련했다. 지난 8일 SKT는 서울 중구에 위치한 삼화타워에서 미디어를 대상으로 CDMA 상용화 30주년을 되돌아보고 차세대 이동통신 기술인 6G의 목표를 공유하는 시간을 가졌다. 이내찬 한성대 경제학과 교수는 “CDMA는 정부와 한국전자통신연구원(ETRI), 기업의 협력 구조로 추진된 국가 총동원형 산업 프로젝트로 기술 자립과 표준 선점을 동시에 달성한 사례”라며 “세계 최초 상용화 이후 국내 이동통신 가입자와 시장이 폭발적으로 성장하며 초기 산업 조성을 이끈 마중물 역할을 했음을 보여준다”고 설명했다. 그는 CDMA 상용화 이후 1997년 SKT의 가입자수가 700만명에 도달한 후 폭발적인 성장과 함께 1999년에는 2103만명을 기록해 유선전화(2078만 회선)를 추월했다는 점을 언급했다. 이런 기반 아래 모바일 데이터 사용이 본격화된 3G, 모바일 데이터 시대를 연 4G, AX(인공지능 전환)의 주춧돌이 된 5G 시대가 이어질 수 있었음을 강조했다. 이내찬 한성대 경제학과 교수는 CDMA가  국가 총동원형 산업 프로젝트라고 평가했다. 사진=데일리한국 이와 관련해 ETRI가 2002년 발간한 ‘CDMA 기술개발 및 산업 성공요인과 향후 과제’ 보고서에 따르면 국내 CDMA 이동통신 산업은 1996년부터 2001년까지 연평균 37.2% 성장을 통해 누적 생산액 42조원을 기록했다. 생산유발효과 125조원, 142만명의 고용유발 효과를 가져왔다. 한국 통신의 기반이 된 CDMA는 지난 2024년 6월 국제전기전자공학협회(IEEE)가 선정한 ‘IEEE 마일스톤’에 등재되며 그 의미를 더했다. IEEE는 글로벌 정보통신기술 분야의 노벨상으로 불리며 지난 1983년부터 인류 사회와 산업 발전에 공헌한 업적에 시상하고 있다. 당시 SKT 본사인 T타워 기둥에 관련 내용이 적힌 현판을 설치돼 업적을 기념했다. SKT는 CDMA 30주년을 기념하는 것에서 나아가 인공지능(AI) 시대에서 2030년 상용화를 추진 중인 6G 기술을 통해 ‘AI 고속도로’ 구축을 준비하고 있다. 이를 위해 AI 데이터, AI 모델, AI 서비스까지 ‘AI 풀스택’ 경쟁력을 강화해 나가고 있다. 이종훈 SKT 네트워크전략담당은 “’이제 6G는 어떻게 될 것이냐?’에 대해 SKT는 지난 2월 6G 백서 ‘아테나’(ATHENA)를 발간해 핵심 기술로 6가지를 뽑아 네트워크 비전을 제시한 바 있다”고 설명했다. 아테나는 △AI 기술의 네트워크 통합(AI 네이티브) △제로트러스트 보안 △5G·6G·위성통신을 아우르는 융합 인프라(유비쿼터스) △개방형 생태계 △가상화 기반 유연성(클라우드 네이티브) △고객 경험 극대화 6가지의 기술을 핵심 축으로 제시했다. 이종훈 SKT 네트워크전략담당은 SKT가 AI와 6G 시대를 어떻게 준비하고 있는지 설명했다. 사진=데일리한국 이같은 핵심 비전 아래 SKT는 △사람이 운용하던 네트워크를 넘어 ‘자율 네트워크’(Autonomous Network)로의 진화 △AI를 접목해 통신 네트워크를 고도화하는 ‘AI for 네트워크’ △통신 네트워크를 기반으로 AI 서비스를 준비하는 ‘네트워크 for AI’ △국내외 다양한 파트너들과 생태계 협력을 강화하는 ‘오픈 이노베이션’를 준비하고 있다. 특히 AI for 네트워크 분야와 관련해 지난달 21일 광화문에서 진행된 BTS의 공연에서는 AI를 기반으로 예측·설계·모니터링·결과분석까지 전 과정을 자동화했다. 이 솔루션은 SKT의 자체 개발 솔루션으로 개발 즉시 내부에서 확산이 가능한 강점을 가지고 있다. 이 네트워크전략담당은 “BTS 공연을 준비한다면 많은 인원들이 일주일가량 준비를 해야 했다. 그러나 AI를 통해 30분만에 설계를 마쳤다”며 “생산성의 혁신이 일어나면서 좀 더 효율적인 대응을 할 수 있게 됐다”고 밝혔다. 나아가 이 담당은 6G의 핵심 키워드 중 하나로 ‘AI 네이티브’를 꼽았다. 이는 통신 장비를 구현할 때 그 안에 AI가 작동할 수 있도록 장비를 구현하고, 사람이 일을 하는 방식에도 AI를 활용하는 것을 의미한다. 그는 “현장의 오퍼레이터들이 본인이 알고 있는 정보를 활용해 최적화를 하는 것이 아니라 다양한 사람들이 알고 있는 노하우가 ‘온톨로지’(파편화된 데이터를 유기적으로 연결해 시뮬레이션하는 기술)화돼 AI가 해석할 수 있도록 가공하는 과정을 거쳐 신입 사원이 들어와도 바로 실행할 수 있는 기반을 만들고 있다”며 “이는 미래지향점이 아니라 지금도 벌어지고 있는 일”이라고 말했다. SKT는 지난 2019년 한국이 5G 상용화를 세계 최초로 이뤘지만 6G 시대에서는 세계 최초 타이틀을 가져가는 것보다 기술 연구에 더 집중하겠다고 언급했다. 이 담당은 “5G 같은 경우 정부 주도하에 세계 최초로 상용화한 부분이 있었지만 6G가 상용화 되는 시점에는 어떤 변수들이 있을지 봐야 할 것”이라고 설명했다. 이어 “지금은 표준화 단체들과 이야기를 하면서 6G에 대한 기술을 정의하고 연구하는 것에 집중하고 있다”고 덧붙였다. 관련기사 SK텔레콤, 벚꽃 축제서 AI 활용 안정적 통신 환경 제공 SK텔레콤, ESG 스타트업 발굴 프로그램 'SKTCH for Good' 론칭 SKT·KT, 나무심기·옥상 숲 가꾸며 생태계 보호 앞장 키워드 #SK텔레콤 #CDMA #6G #AI 장정우 기자 다른 기사 보기 기사공유 저작권자 © 데일리한국 무단전재 및 재배포 금지"
"‘똑똑한 발전소 현장’…남동발전, ‘AI 글래스’로 AX 혁신 선도","남동발전이 국내 공공기관 최초로 발전설비에 특화된 ‘AI글래스’ 기술을 선보이며 거침없는 인공지능 전환(AX) 행보에 나섰다. 한국남동발전은 지난 7일 경남 진주 본사에서 경영진과 AI 전문가, 기술개발 수행기업인 스위트케이 관계자들이 참석한 가운데 ‘차세대 스마트 발전기술 혁신을 위한 AI글래스 기술개발 중간보고회’를 개최했다고 밝혔다. 이번 과제는 정부의 국정과제인 ‘전 산업분야 AX 고도화’에 발맞춰 선제적으로 기획됐다. 단순히 시중의 스마트 글래스를 도입하는 수준을 넘어 시각-언어모델(VLM)과 거대언어모델(LLM)을 결합한 ‘발전설비 전용 AI 운영 플랫폼’을 자체 개발함으로써 기술 자립도를 높이는 것이 핵심이다. 이영기 한국남동발전 안전기술부사장이 AI글래스의 주요 기능을 시연하고 있다. 이 기술을 도입하면 AI글래스를 착용한 작업자가 설비 위치와 주변 정보를 실시간으로 인지하고, 사내 시스템과 연동된 맞춤형 정보를 호출할 수 있다. 남동발전 관계자는 “현장 작업자들에게는 든든한 ‘지능형 개인비서’가 생기는 셈”이라며 “전 직원의 발전설비 운영 전문성이 한층 강화될 것”으로 기대했다. 이날 보고회에서는 일부 기능 시연이 진행됐다. 주요 기술로는 ▲작업자가 AI 글래스로 바라보는 기기와 사내 시스템에 등록된 작업대상 기기를 실시간으로 대조해 운전원의 오조작을 원천적으로 차단하는 기술 ▲현장 순찰 시 아날로그 계기판의 수치를 AI로 추출해 시스템에 자동 입력하는 기능 등이 포함됐다. 이를 통해 현장 작업자의 두 손을 자유롭게해 안전사고와 인적실수를 예방은 물론 업무 몰입도까지 높일 수 있게 된다. 또 국가 중요 보안시설인 발전소의 특성을 고려해 모든 시스템은 전용 보안망(P-LTE) 안에서만 완벽하게 구동될 수 있는 비전을 제시했고, 작업자가 보는 화면은 향후 피지컬 AI 도입을 위한 학습데이터로도 활용될 예정이다. 관련기사 남동발전, 중장기 비전 ‘2040 미래로’ 선포 2025.09.03 남동발전, ‘전사 비상경영회의’ 개최…경영공백 최소화 2026.02.20 남동발전, ‘비상경영 TF’ 출범…불안정한 대외환경 본격 극복 나서 2026.03.18 남동발전, 덴마크 오스테드와 1.4GW 규모 해상풍력 개발 나서 2025.09.26 남동발전 관계자는 “이번 기술개발은 정부의 국가 AX 정책을 발전 산업 현장에서 직접 증명하는 중요한 이정표가 될 것”이라며 “앞으로 영흥발전본부 6호기를 대상으로 현장 실증시험을 거쳐 작업자의 생명을 보호하고 설비 운영의 효율을 극대화하는 글로벌 AX 혁신기술의 표준모델로 발전시켜 나가겠다”고 밝혔다. 남동발전은 이번 중간보고회에서 논의된 전문가들의 의견을 적극 반영해 기술 고도화 박차를 가할 계획이다. 올해 하반기부터는 본격적인 현장 실증에 돌입해 과제를 성공적으로 완수할 예정이다."
"뉴타닉스, 에이전틱 AI 인프라 고도화…추론·실행 시대 전략 가속","뉴타닉스가 에이전틱 인공지능(AI)을 중심으로 한 클라우드 플랫폼 전략을 강화하며 차세대 AI 인프라 시장 공략에 나섰다. 단순 모델 활용을 넘어 실제 운영 환경에서 AI 에이전트를 안정적으로 실행할 수 있는 기반을 제공한다는 목표다. 뉴타닉스는 '뉴타닉스 에이전틱 AI' 솔루션에 신규 기능을 추가하고 네오클라우드 사업자를 위한 AI 서비스 플랫폼 역량을 확대했다고 9일 밝혔다. 최근 AI 시장은 학습 중심에서 추론 중심으로 빠르게 이동하고 있다. 다수 기업이 AI를 실제 업무에 적용하는 단계로 진입하면서, 보안·성능·비용을 동시에 충족하는 인프라 수요가 커지고 있다. 뉴타닉스는 이러한 변화에 대응해 에이전틱 AI 기반의 통합 소프트웨어(SW) 스택을 제시했다. (사진=뉴타닉스) 토마스 코넬리 뉴타닉스 제품 관리 부문 수석 부사장은 ""기업들이 데이터 통제권을 유지하며 AI를 활용하는 방법을 모색하면서 소버린 및 특화형 AI 클라우드에 대한 수요가 빠르게 증가하고 있다""며 ""뉴타닉스 에이전틱 AI 솔루션은 안전한 멀티테넌트 환경과 AI 관리 포털을 갖춰 네오클라우드 제공업체들이 고부가가치 AI 서비스를 신속하게 제공할 수 있도록 설계됐다""고 설명했다. 뉴타닉스 에이전틱 AI는 멀티테넌트 기반 AI 관리 포털과 서비스 제공 환경을 통해 복잡성을 줄이고 운영 효율성을 높이는 것이 특징이다. 그래픽처리장치(GPU) 자원과 컴퓨팅 리소스를 테넌트별로 분리·관리할 수 있으며 보안과 성능을 동시에 확보할 수 있도록 지원한다. 또 서비스형 GPU(GPUaaS), 쿠버네티스 서비스(KaaS), 가상머신(VM) 서비스, 벡터 데이터베이스(DB), 모델 서비스 등 다양한 AI 서비스 카탈로그를 통합 제공해 기업별 맞춤형 AI 환경을 구축할 수 있도록 돕는다. AI 인프라 운영과 서비스 제공을 단일 플랫폼에서 관리할 수 있다는 설명이다. 운영 관리 기능도 강화됐다. 뉴타닉스 클라우드 매니저(NCM)는 AI 인프라 모니터링과 사용량 기반 과금 기능을 지원해 GPU 사용량, API 호출, 모델 사용량 등을 기반으로 비용을 관리할 수 있도록 했다. 기업이 AI 서비스 운영과 비용 통제를 모두 수행할 수 있도록 지원할 방침이다. 스콧 싱클레어 옴디아 인프라·클라우드·데브옵스·네트워킹 부문 실무 디렉터는 ""자율 에이전트 도입은 차세대 핵심 분야로 급부상하고 있지만 데이터 보안과 거버넌스, 성능 측면에서 새로운 과제를 동반한다""며 ""뉴타닉스 에이전틱 AI 솔루션은 이러한 요구를 충족할 수 있는 엔터프라이즈급 기반을 제공한다""고 말했다. 아울러 뉴타닉스는 하이브리드 멀티클라우드 전략도 강화하고 있다. 특히 '뉴타닉스 클라우드 클러스터 온 AWS(NC2 on AWS)'를 통해 기존 인프라 구조를 유지하면서 클라우드로 워크로드를 이전할 수 있는 환경을 제공한다. NC2 온 AWS는 미션 크리티컬 워크로드를 안정적으로 클라우드 환경에서 운영할 수 있도록 지원하는 솔루션으로, 국내에선 에버랜드에 처음 적용됐다. 기존 네트워크 아키텍처를 유지한 채 클라우드 전환이 가능해 기업의 인프라 전환 부담을 줄였다는 평가다. 관련기사 뉴타닉스, 에이전틱 AI 지원 전면에…클라우드 플랫폼·파트너 확장 2026.04.08 뉴타닉스, 풀스택 '에이전틱 AI' 출시…AI 팩토리 시장 공략 2026.03.17 델, 프라이빗 클라우드에 '뉴타닉스 AHV' 지원…멀티 하이퍼바이저 전략 확대 2026.02.23 퓨어스토리지-뉴타닉스, 가상화 환경 겨냥 통합 인프라 솔루션 출시…벤더 종속 완화 2025.12.17 뉴타닉스는 고객 요구에 맞춘 맞춤형 설계와 지속적인 커뮤니케이션을 통해 프로젝트를 성공적으로 완료하며 클라우드 전환 사례를 확보했다고 강조했다. 국내 기업의 하이브리드 클라우드 도입을 확대해 나간다는 계획이다. 변재근 뉴타닉스 코리아 사장은 ""이번 에버랜드 프로젝트를 시작으로 앞으로도 더 많은 국내 기업이 복잡한 인프라 전환을 자신 있게 추진할 수 있도록 지원하겠다""고 밝혔다."
"동아대·코레일 부산경남본부, 철도·교통 AI 공동연구 '맞손'","8일 동아대 승학캠퍼스 공과대학 5호관에서 열린 'AI 기반 철도 분야 공동연구 및 교육 협력 업무협약식'에서 이석환 동아대 소프트웨어대학장(왼쪽 다섯 번째)과 손명철 코레일 부산경남본부장(왼쪽 여섯 번째) 등 참석자들이 기념촬영을 하고 있다. (동아대 제공. 재판매 및 DB 금지) 윤일지 기자 신라대 농식품부 '전통주 양성기관' 선정…실무형 인재 육성 부산대, 천종호 판사·주성철 편집장 등 릴레이 특강…개교 80주년 기념"
"SK하이닉스 , AI PC 시장 접수 나선다",내용 저장 실패
"MDS테크, '피지컬 AI' 로봇 인재 양성 MOU","서울대 로보틱스연구소·기계공학부와 협력 이창열 MDS테크 대표이사와 서울대 기계공학부 학부장·로보틱스연구소 소장 조규진 교수가 기념촬영을 하고 있다. (사진=MDS테크) *재판매 및 DB 금지 [서울=뉴시스] 김경택 기자 = 인공지능(AI) 임베디드 솔루션 전문기업 MDS테크는 서울대 로보틱스연구소·기계공학부와 '피지컬 AI(Physical AI)' 분야 인재 양성, 생태계 조성을 위한 업무협약(MOU)을 체결했다고 8일 밝혔다. 회사 측에 따르면 이번 협약은 서울대 로보틱스연구소를 중심으로 추진되는 '피지컬 AI 연구 및 인재 양성' 흐름을 산업계와 긴밀히 연결하기 위해 마련됐다. 서울대 로보틱스연구소는 최근 '서울대 로보틱스 데이'를 개최해 로봇 연구 교류, 데모 전시, 피지컬 AI 전문가 강연 등을 진행하며 관련 생태계 확장에 나서고 있다. 이 회사는 국내 엔비디아 젯슨(NVIDIA Jetson) 플랫폼 공인 총판사의 기술 역량을 바탕으로 연구 현장에 실질적인 동력을 더할 계획이다. 이번 협력은 서울대 기계공학부의 상징적인 교과목인 '창의공학설계'에 AI 기술을 접목한 'AI 트랜스포메이션(AIX)'을 가속화하는 계기가 될 전망이다. MDS테크는 이번 협약으로 '창의공학설계 로보콘' 커리큘럼을 지원한다. 학생들이 로봇을 직접 설계·제작하는 과정에서 로봇 핵심 프로세서인 'Jetson Orin Nano Super Dev-kit'을 효과적으로 활용할 수 있도록 회사 실무 전문가가 맞춤형 교육을 제공한다. 여기에 엔비디아 코리아의 DLI(Deep Learning Institute) 실습 교육이 더해져 현장 중심 역량 강화를 지원하고 글로벌 수준 AI 역량을 갖춘 '풀스택(Full-stack) 엔지니어' 양성 과정으로 운영될 예정이라고 회사 측은 설명했다. MDS테크 관계자는 ""서울대 로보틱스연구소·기계공학부와의 협력은 AI 로봇 생태계 확장을 위한 중요한 출발점""이라며 ""회사는 앞으로도 최신 AI 기술 기반 맞춤형 솔루션과 교육 지원을 지속적으로 확대해 국내 기업과 연구기관이 피지컬 AI 분야에서 글로벌 경쟁력을 확보하도록 기술 파트너 역할을 수행할 것""이라고 말했다. ◎공감언론 뉴시스 [email protected]"
"안양시, 서울대와 손잡고 관악산자락에 ‘AI클러스터’ 조성",내용 저장 실패
"제일기획, AI 기반 배너 광고 자동화 설루션 '베리에이드' 도입","제일기획은 인공지능 기술을 접목한 배너 이미지 베리에이션 자동화 설루션 '베리에이드'를 도입했다고 8일 밝혔다. 반면 드랩의 자체 시각언어모델 기술이 접목된 베리에이드 설루션은 간단한 조작만으로 어떠한 형태의 배너 광고든지 매체별 가이드라인에 맞춰 변형·생성할 수 있다. 실제 자체 테스트 결과, 베리에이드로 자동 생성한 배너 광고물은 100%에 가까운 안정적인 검수 통과율을 기록했다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다. 전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
